,calendar,fomc_day,fomc_release,fomc_since_inv,fomc_until_inv,har_ma,numobs,sumabsret,sumautocov,sumbipow,sumpret2,sumret,sumret3,sumret4,sumvolume,vix,vix3m,vvix
2018-09-13,,,,,,,,,,,,,,,,,,
2018-09-14,,,,,,,,,,,,,,,,,,
2018-09-17,,,,,,,,,,,,,,,,,,
2018-09-18,,,,,,,,,,,,,,,,,,
2018-09-19,,,,,,,,,,,,,,,,,,
2018-09-20,,,,,,,,,,,,,,,,,,
2018-09-21,0.04148145847102221,0.020705744265929752,1.560124951836483e-07,0.013476233907981715,0.018911941866250545,0.33068687407731473,0.007506221395703403,0.13474722470907155,0.05020110864151132,0.036398787022743254,0.036534525876603295,0.08702378023936268,0.039288497294777174,0.06503495705058308,0.03583359140267201,0.03591656941897209,0.015750968090880835,0.03050136025612512
2018-09-24,0.04244528662733817,0.02132462245234186,1.6124695183859784e-07,0.014164791241186728,0.019455624800427052,0.32401947092277,0.007828660231614219,0.13225520510609656,0.05188520842424093,0.03580577506663282,0.03688825863031137,0.09009345906074144,0.03941039708875888,0.06401724306732068,0.03680168509319506,0.03693788388377778,0.016088776110652434,0.03057749094564216
2018-09-25,0.0419273449304719,0.021228867342021732,1.6134350769135912e-07,0.014429059338768785,0.01961643873048404,0.3250585477266461,0.007765229388909583,0.13239988881740267,0.05152223952388547,0.03539581381450622,0.03730642595259998,0.08872171905547521,0.039705220956274365,0.06453754589778878,0.03716247056905246,0.03725800169428906,0.01603339277403676,0.029931632143879235
2018-09-26,0.04362136163339282,0.022664276505319957,1.9993966475660506e-07,0.015307767037477184,0.020630963043504136,0.31944867119091414,0.007985771292292367,0.129418666290933,0.05057923761053925,0.035922831917711034,0.03689048782361388,0.09109336203155188,0.03965178014072499,0.06245216578834047,0.03902737709739629,0.03864103007264158,0.016588688498541754,0.030075362085440465
2018-09-27,0.04399673870482414,0.02328362828153592,2.0851631935539473e-07,0.01612500074332484,0.02141271943945729,0.315618162210249,0.00812248660793674,0.12830574256681648,0.04956133012218989,0.036428330562512934,0.03646260011299572,0.0938935657027701,0.03961200932049024,0.06106007416751697,0.039967356686343936,0.03929928029468179,0.016952852712715717,0.029897913247318796
2018-09-28,0.04028851753718546,0.023751989572114676,2.1581218450325013e-07,0.016854593516533116,0.022363768173660037,0.3167665688257204,0.008212319898727718,0.129461112839429,0.049709783698801205,0.03648163186450805,0.03664745186515323,0.09145074235892561,0.03993890045871559,0.060770460919618394,0.040152203363348155,0.0399561183406572,0.017343084283510852,0.029850536671206792
2018-10-01,0.040208396796852765,0.023824620556522097,2.1436470994665363e-07,0.017363393063967416,0.023155470334384434,0.31657391319513745,0.008148904746286264,0.1278508935189884,0.050625074542827435,0.03696936810129542,0.036260337159590345,0.0899684484551677,0.04061317487772338,0.059862978290116345,0.041182306924496107,0.040387544576238166,0.01758883571718171,0.029416124778514553
2018-10-02,0.04064154351869193,0.02411336455152639,2.1557599670989681e-07,0.018014960617646396,0.024172868364455036,0.31704155328354156,0.007311470936147648,0.12654096628429656,0.05077462350605523,0.03652656419865104,0.03719478195344555,0.0932826361251868,0.041364548805942744,0.060394117649014964,0.033871913082445484,0.04139610358874048,0.018031400411366146,0.02932636754684929
2018-10-03,0.03971592775641153,0.023792373184952118,2.1139204496210107e-07,0.018110342020225514,0.024493541989533425,0.31679671045440927,0.00696414722032902,0.12649616617473108,0.051000616316504786,0.03678985019008161,0.03638667110499272,0.09553699972241007,0.04156715148912557,0.058737445128096186,0.03514772359706043,0.0417058260788177,0.018172635877118697,0.028585660303155163
2018-10-04,0.038789041173312416,0.023149168516689755,2.046342953965229e-07,0.017880334476768296,0.024368058937848432,0.31997847882993374,0.006872915485695163,0.1291265212558875,0.05005557242727057,0.036960816855322445,0.03670378182379429,0.0939270504588794,0.04079936198654731,0.05964323642799946,0.03496299264432522,0.04031913264728707,0.018138956987612392,0.028324374430531297
2018-10-05,0.038805051003816066,0.022625797841544684,1.990568183193341e-07,0.0176583258942348,0.02424424584319889,0.32318407304943664,0.006670744261772411,0.13095057166772378,0.04781086051524349,0.037077839226762194,0.03713202258150058,0.09249672090058755,0.040482332204080346,0.06003014426734089,0.034900462300801266,0.03919644569604555,0.018218760054409748,0.028515403634682752
2018-10-08,0.03763150406586325,0.02196621235236301,1.923451459543289e-07,0.0172601121449583,0.023860528307079173,0.3239062679232416,0.006463920165846751,0.1315974334816016,0.04770050286670761,0.03640739933628426,0.03791535694492684,0.09600420520814941,0.040010926688878234,0.06078382654933321,0.033800068491013406,0.038068352823729695,0.018131186237218724,0.028492004067658887
2018-10-09,0.03634475987248656,0.021547180916524182,1.8790015854648946e-07,0.01700186767198578,0.023630276939304067,0.32800206044551167,0.006305151611239551,0.13267435885043186,0.04715101055088977,0.036273614836155474,0.03806985429373233,0.09533778664226111,0.039311956832643775,0.06103593146713715,0.03364380585412758,0.03755097732514157,0.01804894771384873,0.028070270276420388
2018-10-10,0.03476714995070614,0.020256186388946957,1.758540678976738e-07,0.015996288678104164,0.0223254799827985,0.3346151332916596,0.006028270028172657,0.13567934438894536,0.044306178974700426,0.036738811403185787,0.03811006734838191,0.09796861986144224,0.03780806596238985,0.06135359160315475,0.03375097006210571,0.03583959955596688,0.017332312117664565,0.02712375454760663
2018-10-11,0.03130290872371571,0.018137601140786965,1.5644390071749392e-07,0.014268768862488746,0.019961224255272036,0.35573030538286393,0.005547622149926759,0.14406764925926274,0.040772175462597475,0.03786748494549028,0.03766193451505762,0.08742313607390557,0.03679723559124277,0.06509002554192471,0.030552542351711252,0.03348621343694657,0.015928175424213247,0.025404840438693135
2018-10-12,0.029945047194192862,0.017277961438696775,1.4810016212629279e-07,0.013505639475507787,0.01889950439601433,0.35726755662395815,0.005431428572325605,0.14657499644858174,0.040460629673006725,0.03718514050278867,0.03860311795803461,0.08751953222757201,0.03644917280660045,0.06776787219614373,0.02953449489770042,0.03318870039588602,0.015371298500997808,0.02501775859183013
2018-10-15,0.029739755690823308,0.01711437175058882,1.4737664326811638e-07,0.013307978892052241,0.018772495333195704,0.35605404900963894,0.005504093673954436,0.14610610833297583,0.041640481556434884,0.036435112493242404,0.03952664233285571,0.08575533847913666,0.0376339428390058,0.0687922281845494,0.02936990452100593,0.03363832306691296,0.015278307439276748,0.02533071902770696
2018-10-16,0.029505946241553425,0.017272164128844227,1.4895089494433592e-07,0.013267528877413426,0.01892813544030578,0.3509438505845857,0.005573257579826847,0.14440408855133807,0.04341637039582525,0.036551125683423086,0.039908908466892275,0.08852074435325623,0.038017634188817075,0.068822526223058,0.029583400808184824,0.03408891507022861,0.01532413942393098,0.025871115031621292
2018-10-17,0.029851251155570756,0.017198221055918804,1.4844900658141485e-07,0.013051423195315331,0.01882420067435968,0.3485152648695725,0.0056840085420537,0.14521326690721786,0.04337985849649219,0.036656413680136335,0.04057911418052327,0.0880021683503568,0.03850935778899527,0.06990897119159493,0.029454763032418178,0.03419232776431098,0.015071298284375362,0.025907942381781367
2018-10-18,0.029805712918042997,0.01699664551480571,1.4684848579001983e-07,0.012754443756496245,0.018566992389183,0.3461231126867926,0.0057538681141129375,0.14651354750124868,0.043572855425343,0.03701313737713825,0.04099275053835185,0.08711981440446274,0.03854365130339509,0.07140558801144993,0.029661309100011406,0.03453781134990227,0.014770454910951795,0.02586815784982553
2018-10-19,0.029957039734527343,0.01706816740680583,1.4757567190165947e-07,0.01268000946584482,0.018587265438085743,0.34167742662405126,0.005974824619073381,0.1456163235626035,0.0449399151246248,0.03667806014094276,0.04154150110284916,0.0879526967692087,0.039859517395902315,0.07222654762000187,0.029288928324809185,0.03525217803754429,0.014613108965416524,0.026086342092036578
2018-10-22,0.02994283563540696,0.017038198079077898,1.4744672296437688e-07,0.012549201449362718,0.018475388794087583,0.3391977292517687,0.006210833360323118,0.14578688641821014,0.0449368976195661,0.0373217846761191,0.04245061698308157,0.08800620623809152,0.039658454480931894,0.07298923743927489,0.02931858162370134,0.035625024222668916,0.014441333631931542,0.02605064264967304
2018-10-23,0.029016421405146778,0.016743260482976533,1.4525040367331635e-07,0.01224753864458291,0.018074138514085913,0.3374297404367248,0.006393616249283074,0.14574975265174034,0.04626970568939378,0.03727765597273994,0.04340356053115189,0.0887090653761238,0.04016239514107369,0.07462417413601381,0.028623540759340222,0.03552435278756431,0.01407153172973233,0.025679404241922298
2018-10-24,0.028560900898820886,0.01622482015371686,1.413304663005187e-07,0.011754508076871926,0.017403555029227854,0.3354902409160147,0.0064728383819007826,0.14503565217741,0.0459394419826797,0.03719875506007732,0.04372977572687261,0.09275259745509891,0.04044850768115046,0.07669231289749635,0.028410518222559664,0.035343668532780204,0.013442739019826951,0.02509902645702845
2018-10-25,0.027933134991573225,0.016248274263621357,1.4197085037301868e-07,0.011673586077164027,0.017280346834299104,0.3337489613497296,0.006729857554648477,0.14321859020269298,0.04567344050893432,0.036680797222712044,0.04547574674953792,0.09462272388632532,0.04030405631913499,0.0775763992378031,0.028060733711976506,0.03646374025725832,0.013292559401508433,0.025016909460229934
2018-10-26,0.027312968123163597,0.01566915509573657,1.3724944649765178e-07,0.01117333754795133,0.016449318281999165,0.3361902967344047,0.006760916090131491,0.1444262859429033,0.04571500971077464,0.036842367030285456,0.04645541434705862,0.09087717397007716,0.04067421157396443,0.08067355717183554,0.02733062789623265,0.03680693391469929,0.01263456912089838,0.024007720198437145
2018-10-29,0.0248559513605353,0.015248509855714803,1.338613532960466e-07,0.010809513972128997,0.01568191329883308,0.3355902820788559,0.006834089973088042,0.14482625883017283,0.04418636651866651,0.037165756874619496,0.046798161054541945,0.09278451449605317,0.041321023974340516,0.08318988706235605,0.027627867591291135,0.0374074270698624,0.012189338012764006,0.023483004114822497
2018-10-30,0.024309167262962776,0.014134246566852878,9.340613343864169e-08,0.010526001921155288,0.01504467157978964,0.33473367182768793,0.006812004557797417,0.14527804638075864,0.04367687641186321,0.03722790463665533,0.04774325542753896,0.09325391920945217,0.04131023865340211,0.08562904643090775,0.027489956351743523,0.03789778335933128,0.011858012110046,0.023075103905921608
2018-10-31,0.025652820618078595,0.0139060666295354,9.012626192514098e-08,0.010300854607254524,0.014688984324924602,0.3325561157311322,0.00691837702825867,0.14475829941873616,0.04360297143255604,0.03674950753827333,0.048566192399539146,0.09208060482811559,0.04226435955319525,0.0869193610442341,0.02762257911480743,0.03846048510974272,0.011897699660707466,0.02305463083464703
2018-11-01,0.025094499462132876,0.013719767557416091,8.665151799186331e-08,0.010094552843152062,0.014362844350793227,0.33259529958088063,0.0070916332965329275,0.14436033691075834,0.04446172662990251,0.03737642943578248,0.04877209880474739,0.0911498573418548,0.04221420077032866,0.08705044333753469,0.02773612986253682,0.03863773853676162,0.012059374580861103,0.023222980046505876
2018-11-02,0.025605014068822533,0.013666000035861194,8.781729527918178e-08,0.009914767971873866,0.013918240000885557,0.3283862240683651,0.0072401483825575924,0.1440349225895626,0.04489447913077363,0.037578857252458,0.049803623271736756,0.09201562004318281,0.04244273799815084,0.08890854778743074,0.027398613584121177,0.03860218120877601,0.012126604650044075,0.023463330138102208
2018-11-05,0.02554703926569463,0.013658849477179633,8.931379898874387e-08,0.009856125439313494,0.013606431155271959,0.3285602932873527,0.007399910766857874,0.1436500177220691,0.04537498110576514,0.03803818173056492,0.04977046917068401,0.09210736241656867,0.04264776023363465,0.0879332561296937,0.027342570988750935,0.03854126010972398,0.012258030092967779,0.02370737159410788
2018-11-06,0.02524538696779204,0.013691731142603233,9.106502661158213e-08,0.009886552726302438,0.013449931554514644,0.3295485999204873,0.007540321166775796,0.14340862805992327,0.045446343541815884,0.038532120265371235,0.049576297427840504,0.09113269353179335,0.042937032894547734,0.08701720234673885,0.027602436678620924,0.03848198323855713,0.012445961750274239,0.024056685721014725
2018-11-07,0.02552729572928503,0.013653322614888408,9.238155177063632e-08,0.009916180793951524,0.013411634159363297,0.32953269631981985,0.007550702015653778,0.1431382958168361,0.04584927950322445,0.039340716343500816,0.04924754573703619,0.09190689109172089,0.0433377257463482,0.08555832916464064,0.027651177417131766,0.0376717421316805,0.01263944342963816,0.024066929603728655
2018-11-08,0.02575823094656984,0.014293394596105824,1.298372734200808e-07,0.010017450262787478,0.013442460633894968,0.3302269262950886,0.007557708200581456,0.14155597357567928,0.045232924929292616,0.038800468845033166,0.04991633901338026,0.09260744750832567,0.043781281725704134,0.08565378029304338,0.026928083772247677,0.03759381754196488,0.01277055818590698,0.023863023837120325
2018-11-09,0.02585199679005546,0.01445945827796588,1.3068759562514438e-07,0.010435755441588764,0.013590274893794689,0.32967667355232083,0.00756835198686185,0.14000480531774032,0.045452503509841695,0.038486217510089606,0.050257745500036144,0.09360905106024281,0.04379718854147008,0.0858063881879847,0.026934173292215098,0.03774393091709963,0.012762349687374502,0.02356300484572235
2018-11-12,0.0256312892492887,0.014503995611379257,1.3033341402986688e-07,0.010817555936593238,0.013756177071087675,0.32795767287624034,0.007554401877726491,0.1400678471097816,0.04604916994939806,0.039065244512690445,0.05071467458957579,0.09262492383816404,0.0433910889838665,0.08691771076987467,0.0270179195076963,0.03791627755184161,0.012656534715722206,0.0233573855156591
2018-11-13,0.02531121129828344,0.014585906404447468,1.3097787040458296e-07,0.011262498191483505,0.014151559478592228,0.3239504315730486,0.0074903352184569946,0.13892705452564796,0.04726967246024633,0.03918202311195687,0.051332757537479325,0.09419955083031081,0.04271005493874369,0.08856386127158754,0.027066630051719526,0.03840136046252946,0.012611439893688708,0.022983521773907008
2018-11-14,0.025271433467398352,0.01441412810986798,1.2936614363974743e-07,0.011440462353686646,0.014336753655556629,0.3221382164389541,0.007237522040116002,0.13971044281984876,0.04883883701790464,0.039823821729379864,0.05183574020582216,0.0927873059354074,0.04196321315103194,0.08975363101139507,0.026797832147859222,0.038459379500040705,0.012478092486694814,0.022713058562892095
2018-11-15,0.025063178625281585,0.014209309839085275,1.274981980680323e-07,0.011536110691905195,0.01450486621389443,0.32189983546858925,0.0070140337729274835,0.14059937430594008,0.047800961396169434,0.04053152041901413,0.05230024283363226,0.09072323192660103,0.04249241782308474,0.09171042751389737,0.026650996945516595,0.03830959413108847,0.01233730182054424,0.02231646877463037
2018-11-16,0.025110826467135302,0.014322607729235498,1.27290304238227e-07,0.011817119981640827,0.01477903596706823,0.31963413350740144,0.0069477315200416,0.13903427756471146,0.04930584165600728,0.04009558625684526,0.052606919770458976,0.09076399411154869,0.04366605998367979,0.09211553550416023,0.026471910648547127,0.03848523165964179,0.012523016080849068,0.02232004430072316
2018-11-19,0.02507370910747028,0.014293721567321456,1.2625208395671828e-07,0.01198153878153956,0.014886826318038353,0.3171234288390881,0.006793534523714136,0.13981654851040595,0.04992233363583103,0.04101107989193294,0.05293300737087403,0.08986181823450416,0.04334565111532408,0.09323883842123638,0.026269346468643012,0.0386082880485456,0.01254709862768855,0.022293104285758435
2018-11-20,0.024523851285295415,0.014205536989478983,1.2473526210323218e-07,0.012044097738160585,0.014876683795796354,0.3159004007811912,0.006641239794693943,0.14067944307863597,0.049953629846737194,0.04177517979876934,0.05306149619374228,0.0892143682584083,0.043284782401004696,0.09464665653770035,0.025610352189485982,0.03886732576134757,0.012425414740704962,0.022289416073584666
2018-11-21,0.024762823829773007,0.014171458001194,1.2380236270330684e-07,0.012107098999840431,0.014869028289356316,0.31511772677268,0.006561706054594996,0.14014273162618648,0.05120074361476758,0.041523631888440854,0.05275010848037445,0.08990980562957761,0.04364183064965636,0.0936694987876678,0.025928292861019504,0.03893055439943434,0.012497015322552521,0.02221582099052087
2018-11-26,0.024440773087236887,0.014178488045735047,1.2315959925736085e-07,0.012108095952401613,0.014723382850496312,0.3158493401435699,0.00646725513740611,0.1401178150375256,0.05122849418342284,0.04128833918075434,0.05234440203118229,0.09065949173592659,0.043775830963564764,0.09276677183955197,0.026353364992587364,0.03886607755243212,0.01261664921713154,0.0222153048894753
2018-11-27,0.02428664108629875,0.014009350015243328,1.22714584636581e-07,0.012096902082641808,0.014666852859380323,0.31523307427874986,0.00637098963195975,0.13970111242652986,0.05171494965683471,0.04113994253837677,0.052210039226477045,0.0913787755139655,0.044532212840839816,0.09201820998256292,0.02685767243739792,0.0387574677035683,0.012821876209032647,0.02220380879555593
2018-11-28,0.024208825172859494,0.014040438184091217,1.2345400281425208e-07,0.012058562664628335,0.01465329450608624,0.31462003209780465,0.006360306762132086,0.13911508617270493,0.052120872482378705,0.041004119543045524,0.05200019391511244,0.0931890323813702,0.044295517584872934,0.09135385594396948,0.027014162574172895,0.038620781093554525,0.013073796461897016,0.022270999005316507
2018-11-29,0.024252648476098447,0.014078267708831357,1.243042970981418e-07,0.012000852829023587,0.01466403559306305,0.3138608644818904,0.006381075855017419,0.13882545712290614,0.05366857532391312,0.04083823393315064,0.05163873245335515,0.09239289465469525,0.045446424639500445,0.09028936713176998,0.027367598954089082,0.03853908844428415,0.01332939421423772,0.022426363879876832
2018-11-30,0.026343380255127165,0.013981138608800726,1.23973092260752e-07,0.01185114679102311,0.014546766856351387,0.31438721752139387,0.006336756208331269,0.13860166966131623,0.053969602210504286,0.0401590287431351,0.051281926119067116,0.09389426169873699,0.04481468595781207,0.08946849706236529,0.02635419773028633,0.03825871352723483,0.013446608959353247,0.022304278116068867
2018-12-03,0.024395891782800463,0.013997026859591935,1.248085647073054e-07,0.011817384929564575,0.0145690689934148,0.31556017557726584,0.006303404665195738,0.13877013257579443,0.05477779689988287,0.04002614603631392,0.05137670013261025,0.09451243563662903,0.04404428687698109,0.08964847221196363,0.026050277479150154,0.038245440574623375,0.01372569278452864,0.022179541175124533
2018-12-04,0.024001837911611902,0.013809931430990177,1.2368384786787116e-07,0.011602469095929909,0.014390456358379957,0.3144671297375412,0.006208899983212846,0.13874444985298784,0.055337080893149385,0.040618562867622714,0.051359291350927795,0.095805452785119,0.043744557810853756,0.0902477056655624,0.02583379654083774,0.038206037424172015,0.013759333209800903,0.021862883397452702
2018-12-06,0.023400719304864325,0.013649292485162091,1.2276094053797732e-07,0.011434661547476098,0.014268390614552276,0.3150174861947833,0.006092868983942478,0.13860914202413516,0.05565290838496051,0.04085666118048566,0.05177006476507368,0.09471499121490817,0.043375127984675965,0.09143730974512101,0.025514824360710713,0.03877631002342123,0.013757712845597278,0.021671405579189437
2018-12-07,0.02299922295853333,0.013603964927611617,1.2291177084931061e-07,0.011374330309559906,0.014256686512289538,0.31595230825879367,0.006012351227477281,0.13909441931449604,0.05485244220951336,0.04166891667166986,0.0519210507699862,0.09186713245123347,0.042972971186858236,0.09260731132274147,0.025784745684772428,0.03972348126577892,0.013796708972693089,0.02151183304422069
2018-12-10,0.023045347185175986,0.013504206611164525,1.2275028806970517e-07,0.011291011943818473,0.014204537417103945,0.31494713127379925,0.005913960376584055,0.13896298960919032,0.054631022358909515,0.04179809251473811,0.052672847992306,0.09183951994488293,0.04203195729247183,0.09376665685852145,0.02582083801681529,0.04054934855200642,0.01384891235047949,0.021171496951744462
2018-12-11,0.022975082692513006,0.013365236545293037,1.223123928241425e-07,0.011153254021848075,0.01415155660718057,0.31434314932825713,0.005902482896099281,0.13794265233112013,0.055162796993939334,0.04207129008097347,0.05273644857661471,0.09238949237098541,0.04151526254272723,0.09522044800620169,0.025126059170403937,0.04119277031082077,0.013975103924237878,0.020776791288391473
2018-12-12,0.023233603404788833,0.013309634672550802,1.2260760843599154e-07,0.011088898848635547,0.014208172126875904,0.3131176393715705,0.005853225195491127,0.13718848726507593,0.055730383422663475,0.04224442901429361,0.05258839916838049,0.09258622757713685,0.0417666663735265,0.09571104168700133,0.02472003501835099,0.041736166856714066,0.01426534675716558,0.02065152063217006
2018-12-13,0.022863443939619914,0.01330751728986554,1.233150847409167e-07,0.011071543624883589,0.014336828327502084,0.3131729058659713,0.005805299871071166,0.13727464800778091,0.05568435777210867,0.0423664836236241,0.0532392131391124,0.0902821210850527,0.041622414349853684,0.09650182613625437,0.02497394381096905,0.0422691741500621,0.01458552372797516,0.02064263196320846
2018-12-14,0.0228110981998191,0.013309625361831825,1.2409227664684591e-07,0.011065247975671766,0.014503229918646587,0.3121020766116377,0.005845726739395924,0.13652777935344973,0.05479710061615084,0.04245220352724639,0.05337438324986492,0.09110503535982661,0.0412303103887664,0.09710053306472026,0.02523183414401471,0.042849205659761,0.014892287666177392,0.020802198070742295
2018-12-17,0.022615946520070762,0.013181611488462084,1.2371122418674938e-07,0.010967972306634969,0.014610310854891192,0.31064575333540034,0.005871216202083399,0.13585287462720133,0.053929250377390825,0.0426686674696761,0.05336785534351701,0.093355839294053,0.04129649032933267,0.09725886385929654,0.02532159209127812,0.04313292381461624,0.015050506527005384,0.020872201847865736
2018-12-18,0.022568236032603196,0.013076165454065392,1.2352356856870733e-07,0.010900613150831642,0.014850171990958947,0.3107843984436062,0.005818965097091662,0.13533029123194693,0.05514417403401037,0.042799995101567345,0.053092992554069816,0.09175721617591738,0.04135685518757593,0.09788990087492448,0.02462316123156539,0.043908493208687414,0.015202732402166286,0.020895514304843137
2018-12-19,0.022296689489224166,0.01326293975589335,1.5068186522859128e-07,0.01062452396908365,0.014764330459993381,0.3125631383208455,0.00570247589888247,0.1342720895347356,0.053540948386718176,0.0425029106568638,0.05231074020105671,0.09398810105008266,0.041129344222864045,0.098331410250295,0.025154086343821963,0.04379501293653076,0.015167927581425869,0.020593180259817715
2018-12-20,0.02156636566184089,0.013197358238289419,1.491683604014008e-07,0.010719050136233598,0.014687985722299434,0.3131131131564024,0.005533675645123952,0.13490689634910666,0.05223032045140424,0.04282148270618002,0.052864208036595514,0.09314912052363807,0.0410065583509303,0.09954125432851144,0.024732344646123255,0.04412708113179283,0.015232106212370039,0.02057092953479752
2018-12-21,0.021276714357669976,0.013145601688144817,1.4784312522194353e-07,0.010793472111052303,0.014674185440174976,0.3122042537877281,0.0055046852949655195,0.13437560848682775,0.05222162425826566,0.04261818521197787,0.05323450603670393,0.09444360699225532,0.04106481181357978,0.09998959371795395,0.024030832147729105,0.044534098828727706,0.015348419894193804,0.020539652088924117
2018-12-26,0.021038523319064164,0.013014417603978342,1.4654016735036905e-07,0.010702081153035803,0.014721581830768911,0.310955251419177,0.005497564614013248,0.1339467607490836,0.05224165290793186,0.04208962698424385,0.05422096565203453,0.09512656757549072,0.04067768566883648,0.10062031728403469,0.02367049231688699,0.045498876639279415,0.015558888835004187,0.02041859890696877
2018-12-27,0.02053735317761086,0.01273530731169936,1.4366863094591615e-07,0.010414535826415149,0.014525414927240396,0.31150263074634443,0.005397271233120007,0.13392411807692797,0.05210335291370885,0.04211884248624707,0.054620485610570764,0.09513289739627959,0.04069049683834856,0.10170293380618535,0.022752540135668346,0.04626072037777764,0.015581295376718039,0.019999660090506723
2018-12-28,0.020795830847309113,0.012536606701126003,1.417095118831012e-07,0.010167092502120554,0.014312235809073148,0.31069659894924617,0.005376841080890818,0.13367830672601724,0.05246143369950607,0.04198149153341478,0.05463809179410228,0.09479818518622837,0.04117448115196567,0.10232868259622478,0.02238342776045377,0.047096718129357104,0.01584145769775253,0.019732376125699617
2018-12-31,0.02269590658985982,0.012148199581787747,1.2501065790313983e-07,0.01004044847732612,0.01428101657411255,0.30985729770803605,0.005515239738945004,0.13265102056764924,0.052490784050004104,0.04170664370550243,0.05501853435379603,0.0938943233203427,0.040740338407077435,0.10301460572022733,0.021524150381550186,0.04824470006208061,0.016388956557732606,0.01978770919331215
2019-01-02,0.022790011058758608,0.011977026247626428,1.2253118137314416e-07,0.00976569687902326,0.014185959665069057,0.30930338306745986,0.005661358600943504,0.13274592759703846,0.05243876677658322,0.04171047600361755,0.05543327040928086,0.09212460104474977,0.040325730096370624,0.10401590997643603,0.021440733436557103,0.04937532560513246,0.016919493850127018,0.019786207154044902
2019-01-03,0.022303365693685157,0.011737641312010393,1.193272498187129e-07,0.009420972378105614,0.013877709655877557,0.30725312544456207,0.005697524560501163,0.13217025817057496,0.053287297818351426,0.04171490011004398,0.055788546283483766,0.09321981598419256,0.03982303662091881,0.10479460978932324,0.021601307633295885,0.05028735944479183,0.017309326182194253,0.019713083590837562
2019-01-04,0.022749309873454724,0.011727715899177177,1.2007928688248954e-07,0.009193212542749275,0.013560953910995207,0.3065968179728367,0.005680135353910787,0.13241050248148023,0.053063684119429314,0.042033777239784645,0.05630588700632429,0.09128211112415209,0.0392297285754302,0.10597817124789854,0.021389143452410525,0.05106126150868402,0.017898504863516743,0.019838962748478597
2019-01-07,0.022743150844562517,0.011648393249472644,1.201187746511668e-07,0.008924166882801603,0.013134695575139714,0.30842364272874356,0.005658595776690716,0.13302212979167966,0.05266109885805935,0.04259287370977222,0.056335618681795104,0.08963954814369618,0.038897212212569435,0.10543872482110662,0.021405473188912366,0.051248574723810954,0.018383160961109132,0.019842819731303526
