,calendar,fomc_day,fomc_release,fomc_since_inv,fomc_until_inv,har_ma,numobs,sumabsret,sumautocov,sumbipow,sumpret2,sumret,sumret3,sumret4,sumvolume,vix,vix3m,vvix
2018-09-13,,,,,,,,,,,,,,,,,,
2018-09-14,,,,,,,,,,,,,,,,,,
2018-09-17,,,,,,,,,,,,,,,,,,
2018-09-18,,,,,,,,,,,,,,,,,,
2018-09-19,,,,,,,,,,,,,,,,,,
2018-09-20,,,,,,,,,,,,,,,,,,
2018-09-21,,,,,,,,,,,,,,,,,,
2018-09-24,,,,,,,,,,,,,,,,,,
2018-09-25,,,,,,,,,,,,,,,,,,
2018-09-26,,,,,,,,,,,,,,,,,,
2018-09-27,,,,,,,,,,,,,,,,,,
2018-09-28,,,,,,,,,,,,,,,,,,
2018-10-01,,,,,,,,,,,,,,,,,,
2018-10-02,,,,,,,,,,,,,,,,,,
2018-10-03,,,,,,,,,,,,,,,,,,
2018-10-04,,,,,,,,,,,,,,,,,,
2018-10-05,,,,,,,,,,,,,,,,,,
2018-10-08,,,,,,,,,,,,,,,,,,
2018-10-09,,,,,,,,,,,,,,,,,,
2018-10-10,,,,,,,,,,,,,,,,,,
2018-10-11,,,,,,,,,,,,,,,,,,
2018-10-12,,,,,,,,,,,,,,,,,,
2018-10-15,,,,,,,,,,,,,,,,,,
2018-10-16,,,,,,,,,,,,,,,,,,
2018-10-17,,,,,,,,,,,,,,,,,,
2018-10-18,,,,,,,,,,,,,,,,,,
2018-10-19,,,,,,,,,,,,,,,,,,
2018-10-22,,,,,,,,,,,,,,,,,,
2018-10-23,,,,,,,,,,,,,,,,,,
2018-10-24,,,,,,,,,,,,,,,,,,
2018-10-25,,,,,,,,,,,,,,,,,,
2018-10-26,,,,,,,,,,,,,,,,,,
2018-10-29,,,,,,,,,,,,,,,,,,
2018-10-30,,,,,,,,,,,,,,,,,,
2018-10-31,,,,,,,,,,,,,,,,,,
2018-11-01,,,,,,,,,,,,,,,,,,
2018-11-02,,,,,,,,,,,,,,,,,,
2018-11-05,,,,,,,,,,,,,,,,,,
2018-11-06,,,,,,,,,,,,,,,,,,
2018-11-07,,,,,,,,,,,,,,,,,,
2018-11-08,,,,,,,,,,,,,,,,,,
2018-11-09,,,,,,,,,,,,,,,,,,
2018-11-12,,,,,,,,,,,,,,,,,,
2018-11-13,,,,,,,,,,,,,,,,,,
2018-11-14,,,,,,,,,,,,,,,,,,
2018-11-15,,,,,,,,,,,,,,,,,,
2018-11-16,,,,,,,,,,,,,,,,,,
2018-11-19,,,,,,,,,,,,,,,,,,
2018-11-20,,,,,,,,,,,,,,,,,,
2018-11-21,,,,,,,,,,,,,,,,,,
2018-11-26,,,,,,,,,,,,,,,,,,
2018-11-27,,,,,,,,,,,,,,,,,,
2018-11-28,,,,,,,,,,,,,,,,,,
2018-11-29,,,,,,,,,,,,,,,,,,
2018-11-30,,,,,,,,,,,,,,,,,,
2018-12-03,,,,,,,,,,,,,,,,,,
2018-12-04,,,,,,,,,,,,,,,,,,
2018-12-06,,,,,,,,,,,,,,,,,,
2018-12-07,,,,,,,,,,,,,,,,,,
2018-12-10,,,,,,,,,,,,,,,,,,
2018-12-11,,,,,,,,,,,,,,,,,,
2018-12-12,,,,,,,,,,,,,,,,,,
2018-12-13,,,,,,,,,,,,,,,,,,
2018-12-14,,,,,,,,,,,,,,,,,,
2018-12-17,,,,,,,,,,,,,,,,,,
2018-12-18,,,,,,,,,,,,,,,,,,
2018-12-19,,,,,,,,,,,,,,,,,,
2018-12-20,,,,,,,,,,,,,,,,,,
2018-12-21,,,,,,,,,,,,,,,,,,
2018-12-26,0.028495553004041656,0.015820005490879068,1.499954162817749e-07,0.011714017026750706,0.016250111806677823,0.31815281355009317,0.006230268266236112,0.13423874834611965,0.051497317563956015,0.04001376252496137,0.047769430906823306,0.09217088996621262,0.040170947332761796,0.08763974058900711,0.028107261805701517,0.04200351020284272,0.015628954151080062,0.0240965174704389
2018-12-27,0.028276763183021497,0.01576965245847727,1.498785198387835e-07,0.011739387590573205,0.016267108898918498,0.3159244516506232,0.006256207398193379,0.13333454162170214,0.05202628906611739,0.039888626785422814,0.048356226353797264,0.09335261631384824,0.040238276329616754,0.088389719548233,0.02771567795518276,0.04296724433148409,0.015760572964847366,0.023736487671421037
2018-12-28,0.02820972445656239,0.015586245991613387,1.4859800815809986e-07,0.011662383779817135,0.016173190778341732,0.3157354219998873,0.006214796030240349,0.13322977973806308,0.052131921783366106,0.03967093708091952,0.04855735729896216,0.0926662852553318,0.04065899803360997,0.08906983773767328,0.027568586315507525,0.043644850146109936,0.015908797228174013,0.023310737747812133
2018-12-31,0.029878228959399077,0.015757672081695148,1.5072882178208128e-07,0.011848369970233108,0.016460532502325684,0.31314938077993903,0.0063632095443014285,0.13154156749340842,0.051834676800531186,0.039721444306099286,0.04879637699382912,0.09293293887833921,0.040366708473070986,0.0890922074220876,0.02753184849462851,0.044948396414139724,0.016457511300432374,0.02331877885671829
2019-01-02,0.029994749246798427,0.01581831231543661,1.5174362836467845e-07,0.011926196139689874,0.016641166946046466,0.31144875557369534,0.00649749811447794,0.13123742655986223,0.05146119125934309,0.039915928744395895,0.04898820660606291,0.09272558613955749,0.04008325179347523,0.08942216615056545,0.02773493743874459,0.04595210682078164,0.016930827134319353,0.023221541273119217
2019-01-03,0.028359795055676647,0.015783425979321017,1.5181817324811076e-07,0.011924215148611509,0.01673535658718493,0.31045674020014796,0.006544372029922939,0.1312579641031004,0.05208258396632946,0.03995261754844883,0.049342857791967155,0.09262408737757177,0.03986205331398494,0.08996965027987529,0.027848249030753933,0.04680835451264795,0.017320694090444236,0.023126831165837747
2019-01-04,0.028627275362272348,0.015800390971439864,1.5182243962016208e-07,0.011943874095202521,0.016791147830414646,0.3099558150184805,0.006511298023064165,0.13087541509451545,0.05224267538083623,0.04032873835270529,0.049557134868228915,0.0908398392077502,0.03969549460639106,0.09045253042227554,0.02805292445733382,0.04746773224557901,0.017794248291389276,0.02306331394968159
2019-01-07,0.028697304865617796,0.015795042635913817,1.518739726126731e-07,0.01194834827475126,0.016806700212383015,0.31129051282804104,0.006208448126908056,0.13086607888469629,0.05203353609266131,0.04057482986492933,0.04996814803527193,0.0908514729991277,0.039718006703237024,0.09045399776747416,0.025552611123125478,0.04797101054839742,0.01826614282826148,0.02299765633523049
2019-01-08,0.02850391435771526,0.01567186115354412,1.5075331023087478e-07,0.01185988904556787,0.016669195069687833,0.31211477498246387,0.006064123118198039,0.13092949533334533,0.05179807696503174,0.04084738868537639,0.049764712588692535,0.09084877093090346,0.03973526606194789,0.08971952349036401,0.025886292894330854,0.04813727614200071,0.01863355863843987,0.02281572978907987
2019-01-09,0.028729121779433528,0.015548659864648784,1.5034167035901254e-07,0.01179631167347673,0.016618658733322557,0.31295431179301303,0.00605309582612384,0.13099261498825762,0.05163807266137993,0.04103282314726264,0.049766085483697445,0.08972549353371237,0.039493500266059633,0.0895431357159815,0.026158145272664822,0.0481155759350574,0.019010019126085246,0.022824223858152564
2019-01-10,0.028755258294843183,0.015508661877024823,1.5041155318892305e-07,0.011776455582683759,0.01661870066387384,0.3133167906168589,0.00602533546077296,0.13087280311715366,0.05119477311927382,0.04115071168349251,0.04977873058142552,0.08973032070933815,0.03912647636567823,0.08927265302781785,0.02631549514957944,0.04815630090165866,0.019437562276033604,0.02296282016093786
2019-01-11,0.028620789012992236,0.015434647468862807,1.501531653721149e-07,0.011735396523417709,0.01658056282394085,0.3139318640483417,0.0059815078827072455,0.13109606079216005,0.05072226592730156,0.04129900975032854,0.049520129736219685,0.08968739847483195,0.03871815204802185,0.08928912910986363,0.026594108677356725,0.0479321405684448,0.019834813590962244,0.023021873411080997
2019-01-14,0.02814594321900881,0.01529885240100615,1.4927600263247228e-07,0.011651875213754463,0.016477883845648564,0.3163001708286392,0.005872573071468399,0.1316614169825028,0.050172202855548825,0.04153356821286777,0.04913811761312236,0.08863116078067745,0.03849538594661228,0.0891884781794951,0.026914346967124168,0.04762748604323043,0.020109854175563827,0.02278053438772676
2019-01-15,0.028005511136744182,0.015189277011883669,1.486607464758278e-07,0.011592197895681623,0.01640689603451729,0.31805019994644423,0.005827876731056245,0.13214006178730867,0.049701114653124344,0.0416023692421036,0.048959295475384794,0.08796038188146753,0.037980888207656785,0.08911711261091453,0.027164390413477867,0.047254454038592804,0.020407726576937037,0.022640097695958317
2019-01-16,0.028174960284257675,0.015117481659038444,1.483932850506774e-07,0.011565192620501076,0.016376336487740572,0.3185766709494245,0.005873244437305268,0.13222819104783037,0.04964976245211447,0.04147371625221042,0.04882531741811319,0.08763742112480676,0.03791623370651803,0.08909644055986064,0.027216525274248428,0.04697097377241933,0.02071564655976381,0.02258573700056202
2019-01-17,0.028204656967467087,0.015085504835037613,1.4854617383217896e-07,0.011571079434604312,0.016392960631343746,0.318456421384786,0.005920251825771656,0.13217705564524695,0.04951296157037361,0.04127204039552245,0.04871245356739333,0.08798202391083235,0.03784634398956759,0.08888665036873326,0.02745815550862727,0.04688911867594239,0.02103098228787996,0.022601190454696614
2019-01-18,0.028021769172472604,0.01503933927552183,1.4847190144807203e-07,0.011569346404564548,0.016395245252618065,0.31910185656284684,0.005911624322741127,0.13246281970686655,0.04971165166947746,0.041233949371460285,0.04861530350501764,0.08721065254294737,0.037636912930565654,0.08886646624935671,0.027662925569824637,0.046626467803991926,0.021312824411745996,0.022620696776079398
2019-01-22,0.027644048989608618,0.015032320525603257,1.4879694567550448e-07,0.011601386976420046,0.016464167757722813,0.31902654011727444,0.005877215831963265,0.13224975344301607,0.04992439376651699,0.0409381979846251,0.04856821214438264,0.08752967689842807,0.037618640142193696,0.08877513444495368,0.027707857437171614,0.046755768174497815,0.021567520329857995,0.022719016238818134
2019-01-23,0.027528717973469147,0.014968038309852718,1.4854806848962e-07,0.01159426925368827,0.016483287543587456,0.3193943660013218,0.005838383779124847,0.13253074015828042,0.04966233523457245,0.04083736633653363,0.048485538863065336,0.08765480283927975,0.03742787778267268,0.08872066389820925,0.02760956681519966,0.046936385049458816,0.021703209224995464,0.022624302388619726
2019-01-24,0.027430594592846642,0.01492823637476239,1.4855825703159918e-07,0.011608030127663364,0.016544676223136878,0.3197837845656042,0.005790696011529835,0.13275215707973984,0.04957053264665569,0.04082133218124251,0.04838050091672419,0.08691213891045861,0.03740487787788711,0.08874008456026414,0.02785192723596296,0.04706872738996212,0.021900822142844424,0.022510732604457993
2019-01-25,0.027688439358316528,0.014905512811995295,1.487509376620654e-07,0.011638890300053543,0.01664515176376887,0.3195908093866974,0.00576874542807883,0.1326605809357834,0.04948388892395745,0.04069562850834869,0.04833129419462011,0.08696043161683314,0.037346092250287455,0.08883776170701861,0.027866872818647692,0.04703487001020108,0.022136871884633303,0.022408009349820845
2019-01-28,0.02770818138881112,0.014828172890074761,1.4841334411393294e-07,0.011633678256516228,0.016732940339404104,0.31998310036936173,0.005738985850633842,0.13309970554440462,0.04916029467473787,0.040534572325884005,0.048385864000905394,0.08678168285502037,0.03719130686989693,0.08904499124094309,0.027606254286665986,0.04702304129217146,0.02223445804514255,0.02231262135608201
2019-01-29,0.027511978490336857,0.014769844229195138,1.4829069970265942e-07,0.01165037849021494,0.01693358249799777,0.320217296935362,0.0057440329748526895,0.1332060211840827,0.04923207874914559,0.040506502522214945,0.0483037586733091,0.08636706761833449,0.037087191993626624,0.08914472476997408,0.027698912136222123,0.0469800667640171,0.022362739543827028,0.022283674136587037
2019-01-30,0.027561868562123986,0.015149241624137449,1.7156221037689917e-07,0.011653195895255599,0.017148448326950623,0.3194032965959354,0.005732620501909883,0.132930475537627,0.04918830996362453,0.040590353738971206,0.04814747691555401,0.08649667077462489,0.037261107816666084,0.08896421244687837,0.028058781147569448,0.046917680428871615,0.022516030200271514,0.022280057960817896
2019-01-31,0.028260696732962554,0.015255345646583278,1.7234955089532448e-07,0.011905366671556925,0.017279666322987924,0.31944220023714454,0.0057069464876555506,0.1325622843121822,0.048969228479072105,0.040275440481434534,0.04842311416544223,0.086488920459592,0.03679858261079028,0.0890212182726865,0.027782114556193782,0.046927684970833765,0.02269604237265952,0.022204974870671457
2019-02-01,0.0284675689925565,0.015330537286343524,1.724684900312977e-07,0.012074479784576595,0.017407396982235913,0.31993788505080306,0.005703395408989878,0.13258444942871697,0.04874111580560825,0.03994841445872545,0.04859962015943826,0.08572129513807598,0.03678630640461797,0.08920542833288127,0.02774755450415501,0.04685095981887779,0.022826317268470675,0.022067102706436904
2019-02-04,0.027508460259082452,0.015246690419716425,1.7166995519851726e-07,0.012172348429049754,0.0174740776907266,0.32179134175439345,0.0057150603783291615,0.1331984659752647,0.0480880823420156,0.03993691987174066,0.04850973788632816,0.08501878563980213,0.03650794930108391,0.08965631002387464,0.02765578760484272,0.04668773514927675,0.022916922905072138,0.021915152699445616
2019-02-05,0.027483099658453698,0.014768449909049885,1.520166883796397e-07,0.012197549448466866,0.01750618409448329,0.32281662108742376,0.00569432416942594,0.1333995568963664,0.04812398780395942,0.03968262794176176,0.048491416213526074,0.0849249473423649,0.0362567090582663,0.08980963381999388,0.027627484516065327,0.04647277950835324,0.02296174743497745,0.0217827290803735
2019-02-06,0.02769894348131766,0.01460692991562484,1.4966500178081118e-07,0.012123934109323562,0.017510861323504368,0.3238798102017617,0.005656917275187721,0.13375959532467252,0.04782708957692339,0.03939037925453893,0.0485861775281825,0.08404092662762964,0.036162839699191776,0.09014454483093656,0.027586624805049444,0.04624581436094341,0.023029145331770993,0.021749316688439126
2019-02-07,0.02761503014862581,0.014540133966442163,1.480999502933019e-07,0.012089238022700633,0.017584479377409052,0.32318090331373356,0.005677164593667754,0.13355997383880452,0.048007465442783066,0.03965792867013857,0.04852975982690682,0.0838862729758212,0.0363249345752706,0.09031541786358878,0.027732439717948743,0.046137059774559376,0.023230239486000386,0.021931410305648675
2019-02-08,0.027612357879184504,0.014517220365801586,1.485088866499224e-07,0.012015848089232657,0.017526867364299904,0.32265591665913956,0.00567598868644558,0.13334222726260106,0.04839262641133526,0.03956227368969581,0.048424467530326774,0.08441870841262059,0.036512913968361434,0.09043465117551876,0.027713975113658935,0.045793365727167384,0.023370089369758696,0.022030353785964723
2019-02-11,0.02761601953824241,0.014516038472822448,1.4914658859372782e-07,0.011977386424327552,0.017484333642327023,0.3224210380932024,0.005674857138988827,0.1333290394740087,0.04842591065500657,0.03951705863163911,0.04837291158866942,0.08454812183096462,0.036555053726289366,0.09055573043306504,0.027799280527034394,0.045509546428945225,0.02355425372344593,0.02214327052443233
2019-02-12,0.02743374208055285,0.014482826450659172,1.4952041479099632e-07,0.0119286685918308,0.01739681932820935,0.32260519139952,0.005655245645835949,0.13333141033719587,0.04830584594107016,0.039460210052504774,0.04827899232909385,0.08474984579312365,0.03666325751202993,0.09077255462462844,0.027799887603193935,0.045224992550954225,0.023691987823523424,0.022218372415658768
2019-02-13,0.02758823856482897,0.014432165582528338,1.49739361435182e-07,0.011874856521940192,0.01727558400136648,0.32273766037769386,0.005624940648498668,0.1334970191821764,0.04831451611262317,0.039529170247894325,0.04811991483724264,0.084729700719371,0.03661632858462597,0.09085877921654541,0.027896108152186395,0.044904079744761426,0.023768203868416472,0.022232583897938658
2019-02-14,0.0278077452099999,0.014474063037039922,1.5087616608541284e-07,0.011898152062734691,0.01723624716968257,0.3222441261487981,0.005611179655140745,0.13290199137080566,0.04806919508056812,0.03957728996311662,0.048586217603177204,0.0850256561191661,0.036390403514294394,0.0913417082154574,0.027684304526119204,0.04503947682615953,0.02390788669441444,0.0222042059271592
2019-02-15,0.027727568230159694,0.01444883797572339,1.513708288924838e-07,0.011881209526519622,0.01710486844758527,0.32205043576293435,0.005593532040587597,0.13266055613768504,0.04827015599787725,0.03941283849439022,0.04860494111794486,0.08509521626109087,0.036372677746410675,0.09162814136934987,0.02804951768312744,0.045172686606672646,0.023953070075855072,0.021973595155257212
2019-02-19,0.02743842293181993,0.014371832605472337,1.5144541083058457e-07,0.011792877240161455,0.016933230113897385,0.3238455027947099,0.005545365158130208,0.13315412421569453,0.047724239520015935,0.03946055835124919,0.048594361164863875,0.0842755981800733,0.03619421846788038,0.09197229308516253,0.028081764568986,0.0450445034565033,0.023945458528598296,0.02162549817137068
2019-02-20,0.027365644327944603,0.014433443378038703,1.5298946924215595e-07,0.01183215969804949,0.016965188818269625,0.32301117439127053,0.005511184978068599,0.1322824814633204,0.04804344934962334,0.039415988446896214,0.048676707351070055,0.0851488734000645,0.03596057958512251,0.09243339920528333,0.028162170111224922,0.0453332464509003,0.02413610878039349,0.021288047274990077
2019-02-21,0.027095190043107262,0.014383057357662822,1.5340322889808396e-07,0.011802752837763048,0.016915345933330248,0.3232172886923787,0.0054228520297603345,0.13239501761259262,0.0480505439377247,0.0393176405216007,0.04875257396654398,0.08561404890983401,0.03569747551103802,0.09272267500644304,0.0280946295895357,0.04534448993957573,0.02415810520929763,0.02101615949858248
2019-02-22,0.0273142598944501,0.014344109540470787,1.5395935977394045e-07,0.01180662887968918,0.016919456783700184,0.32345459797347254,0.005371345860135781,0.13240809349519275,0.04747078383754158,0.0392782426728606,0.048836784989622635,0.08585167431856773,0.03568973571485549,0.09295796678033173,0.027924505359969726,0.04542185947420794,0.02421447628916895,0.020735324176402493
2019-02-25,0.02746006522962031,0.014363198786118686,1.5445101504500017e-07,0.011864385508127448,0.016910116835577194,0.32308425325594237,0.005333299910104126,0.13206304082033185,0.04721687866711414,0.039088814824600714,0.04887840630354491,0.08656703281067964,0.03571730153000733,0.09318723259559676,0.027826568475174066,0.045512944579943426,0.02432142229770877,0.020604883118793178
2019-02-26,0.027549833202159604,0.014347120403390944,1.548293599361024e-07,0.011933250010750351,0.016887335252876872,0.32314691665399764,0.005282971081288914,0.13209095968789544,0.04718628225717091,0.03906217870761835,0.048826392043691005,0.08655047655281636,0.03561122654838071,0.09342120693231683,0.027772654794648185,0.04546283045414039,0.024380169647017745,0.02048804094047973
2019-02-27,0.02744286301942142,0.014337918002392524,1.5526128467273024e-07,0.012012819866539771,0.01687930283168492,0.32303766579926374,0.005235346777466353,0.13202400541361578,0.04743357001569515,0.03897273281096046,0.048878112591118794,0.08647085121322147,0.03572918529399223,0.09372710348295434,0.027611752995989492,0.045352340080493776,0.0244343307139081,0.02041994382999706
2019-02-28,0.028457665169442557,0.01430990844215312,1.5549710352893378e-07,0.01207848291497126,0.016854516584681227,0.32226446198959735,0.005182943838971337,0.13173007068729256,0.04765908801867291,0.03882718136557116,0.048909780388980854,0.08662645859860997,0.03572622735454366,0.0938845727956055,0.02746502383917146,0.0452395556786611,0.024464395358625754,0.020319511477344638
2019-03-01,0.02856448907920806,0.014291528547165868,1.5581255029128915e-07,0.012154271032696751,0.016848237411787363,0.32188845996064314,0.005110306447833834,0.1315985442279096,0.04755228737478661,0.03875224877949512,0.048886771986750954,0.08690281264511611,0.03579505770227757,0.0940866884836269,0.02750156682072098,0.0452792572798963,0.02453263982263452,0.020254676584899857
2019-03-04,0.028523305011156415,0.014265820344168137,1.5605532628096765e-07,0.012227037504714818,0.016838073222399774,0.3220248758277052,0.005060315647761509,0.13180659285589155,0.04702926098006906,0.03888751118258439,0.048624217015690044,0.08775806898506373,0.03584195402751989,0.09360598098568702,0.027575634167934005,0.04513227055026377,0.02455213623366758,0.020246789402396843
2019-03-05,0.028687757369802374,0.014286107057080737,1.5681191614562662e-07,0.012347874489597859,0.016890419939551184,0.3214632975671454,0.005056460513323896,0.1315954212539545,0.046718817369204316,0.03891682504089604,0.048634065328712485,0.08808675727173419,0.03565442979988747,0.09388241402684858,0.027693212891588045,0.04515378178475149,0.02464028868339395,0.020291912800611277
2019-03-06,0.02908559112108999,0.014313813978843359,1.5764164914146461e-07,0.012479611195784559,0.01697382693784785,0.32039033887659185,0.005080442521184188,0.13124036859791027,0.04690900467201015,0.03887074302586233,0.04850793419922457,0.08833125388201453,0.035804715802599765,0.09380514884718338,0.02803725837337859,0.0450476434515284,0.024728758864497328,0.02039338801079968
2019-03-07,0.029080943796354473,0.014237030225191927,1.5725233903638244e-07,0.012522863089552812,0.016945817022882597,0.32114772676086306,0.005056601794628072,0.13117962639803216,0.04742939755149754,0.03866328988556166,0.04838442949530195,0.08916820853304105,0.03539489393609728,0.0931955673518649,0.027812136721276262,0.0448576386018637,0.024598178488139364,0.02032549309551217
2019-03-08,0.02795562803320893,0.014212830311626474,1.5746636605215663e-07,0.012612263330575081,0.016998626596084542,0.3227454007636095,0.005036619487119949,0.13132635916125504,0.04739299240399334,0.03866726324722531,0.04834757753416796,0.0889520741445929,0.0351623580232106,0.09312071524024873,0.02765566923635928,0.0449806421626414,0.02454787064324307,0.020284952214471682
2019-03-11,0.02792064046238677,0.014165486877550587,1.5744252262072446e-07,0.012673888155370084,0.017048204212088778,0.32267325327015906,0.005025185224781982,0.13129720180937443,0.04713303886437099,0.03870545826106796,0.04838025502939638,0.08957631340420574,0.03489178045633953,0.09346703656067647,0.02739330522238101,0.04496619598248033,0.024597650107045777,0.020084948657801478
2019-03-12,0.027758135707662678,0.014157562301241334,1.578673127587358e-07,0.012769586221261843,0.017166300951957928,0.3222016993411211,0.0050037142928362,0.13051914287342758,0.04730071809753901,0.03850545898557637,0.04852635553168293,0.08990371465890802,0.03505067688241552,0.0938010159653252,0.027437695583889643,0.0452297055470698,0.02471312221132712,0.0199552369794451
2019-03-13,0.028064342507597765,0.014210671536152028,1.5897790858313877e-07,0.012921672442227836,0.01737035832140647,0.32171005759849697,0.004993608647557658,0.1301923045867291,0.04736376093207034,0.0385647410693893,0.04863816717837518,0.08860678008902188,0.0350138817182123,0.09413340259293664,0.027781323104121333,0.04569821057641104,0.024857025283535703,0.019879532837849778
2019-03-14,0.02817931718375446,0.014163638887459648,1.5907811353778472e-07,0.012990207087404091,0.01748174370278609,0.32207579545858306,0.004940096282050626,0.13031770879888613,0.04724617458704488,0.03868538210927564,0.04860600028756259,0.0880517947768645,0.034692695896391915,0.09438361479435015,0.02788767482784996,0.045855101783593435,0.024819906434115246,0.019622988023914135
2019-03-15,0.028231919201663517,0.014111807416724022,1.5918371988504397e-07,0.01303812733334398,0.01763603777752468,0.32254066312929996,0.004937752791117885,0.13020880749694946,0.04724387263578718,0.03864597019061307,0.04851186893948155,0.0878513421327217,0.03439389065435246,0.09464465305134889,0.027645501142967783,0.0461664892317843,0.02481102367402352,0.019380114016576
2019-03-18,0.028044835438745714,0.01405407452725289,1.591749873913879e-07,0.01308669871947008,0.017846023054137978,0.3235274576451419,0.004918329806276483,0.13027825068134077,0.04703276299069076,0.03867391277826934,0.04839297629569173,0.0870505944156517,0.03443905500234114,0.09500149340769552,0.027387223586098953,0.046290950196605056,0.024778231924690138,0.01919697035491243
2019-03-19,0.027619151821847175,0.014016009550246648,1.5933990935020425e-07,0.013153704918372469,0.018179686827011945,0.3231521679283214,0.004871570158664166,0.1302317136532276,0.046726280185209385,0.03875481926972831,0.0483775787573942,0.08758150494528309,0.034296674207783734,0.0950534039479605,0.027798864316907916,0.04638977488930653,0.024762406553329886,0.019034528729495775
2019-03-20,0.027526805948199336,0.014341681617101112,1.7915429655495646e-07,0.013189464667924873,0.018454787500072154,0.3236403159394698,0.004863379213999318,0.13030127198838595,0.04660700419099607,0.03891534597676692,0.048155797172002364,0.08715354236837211,0.03426689727998583,0.09467846092248615,0.028032901765394403,0.04627068075075135,0.024718628582600204,0.01888285496119566
2019-03-21,0.02737155192770284,0.014384099471306899,1.7922184458104557e-07,0.013367609658612143,0.018616263160803188,0.32417353291690226,0.004884103005904607,0.13024513656022416,0.04636532055601708,0.03896316750024646,0.048039577211751304,0.0874106277566155,0.03415341608223431,0.0945035758893682,0.027852085222722714,0.046148361998610485,0.024719983022209947,0.018801408836923165
2019-03-22,0.027357203587910387,0.01431838182916196,1.781744536164802e-07,0.013438938810386547,0.018710433868568948,0.3265827483403782,0.004835368089529118,0.13114276653843396,0.04626449654852595,0.03907723949381732,0.04782878572382667,0.08649784494244778,0.03381731761147842,0.09413774626861031,0.027100716340763262,0.045767197102280846,0.024476057961406457,0.01864657876802022
2019-03-25,0.027210947119387235,0.014217113134126966,1.7749098855724918e-07,0.013520212397970147,0.018893517683612873,0.327921326962708,0.004819939410185504,0.13135972189307688,0.04607831729372827,0.03896500660154786,0.04769551890904835,0.08630522881712531,0.033929431861467164,0.09378523467417106,0.02683687724683813,0.04560602935137878,0.024303985644465054,0.018551413508173843
2019-03-26,0.026966012355482186,0.014196300326260732,1.7781778039208378e-07,0.013615027851696377,0.019139397749921645,0.32824289295339054,0.004777339561857767,0.13117460679532597,0.04602041565137096,0.038830978227279316,0.0475823467789711,0.08701018707483961,0.03401006752532428,0.0934813003910886,0.02674019409425566,0.04538001544280287,0.024330165325610456,0.018502574076741444
