arm,root,n_bars,n_chunks_present,incomplete,qlike,qlike_none,qlike_duan,dm_t_vs_a0,oos_r2_vs_a0,mz_alpha,mz_beta,sigma2_mean,masked_col_events,calib_a_mean,calib_b_mean,calib_fallback_windows,var_fallback_windows
be_tunedWide_market_vw,unification,273554,100,False,0.2355637338,0.2441120052,0.2337696353,3.02321,-0.008666237513,3.134551583e-06,-1.415173101e-06,0.1419559049,0,-0.0509004,1.0653,0,0
be_tunedWide_sentiment,unification,273554,100,False,0.235991302,0.2422051311,0.2338744007,4.4943,-0.006357303412,3.134528352e-06,-1.17735147e-06,0.1417201919,0,-0.059257,1.0742,0,0
be_tunedWide_implied_vol,unification,273554,100,False,0.2359732791,0.2426714454,0.2336978197,4.36967,-0.005782677816,3.13452417e-06,-1.154169591e-06,0.1418516322,0,-0.0521515,1.06789,0,0
be_tunedWide_vol_demand,unification,273554,100,False,0.6269343316,0.4680246432,0.6244930868,10.9449,-1.639660683e+16,8.675868775e-33,1.443797292e-19,1.248202783e+15,0,-0.0480396,1.06388,0,0
be_tunedWide_all_features,unification,273554,100,False,0.2328175495,0.2425111844,0.2297390848,-0.575349,0.01824141089,3.134568008e-06,-1.498566775e-06,0.1392379934,0,-0.02137,1.03453,0,0
b1_ridge_a30,unification,273554,100,False,0.2302548507,0.2410082859,0.2257041253,-6.79115,0.02862817638,3.134561419e-06,-1.527510533e-06,0.1383201941,0,0.0311218,0.975781,0,0
b1_ridge_a100,unification,273554,100,False,0.2298913591,0.2404562456,0.2255506614,-7.1389,0.03273028078,3.134561236e-06,-1.549114895e-06,0.137957292,0,0.0203142,0.98711,0,0
b1_ridge_a300,unification,273554,100,False,0.2298554715,0.2420378086,0.2258641384,-6.08576,0.03490374957,3.134562169e-06,-1.572042433e-06,0.1377531852,0,0.0107346,0.997346,0,0
b2_lasso_a1em6,unification,273554,100,False,0.7197617487,0.7321502879,0.719331554,11.8973,-3.051230398e+18,3.288690653e-38,2.767132408e-22,2.040162123e+17,0,0.0944659,0.910043,0,0
b2_lasso_a1em5,unification,273554,100,False,0.6963854919,0.2902290335,0.6930883627,10.854,-2.320366023e+19,5.262461453e-40,3.500361446e-23,1.612804484e+18,0,0.0699561,0.935055,0,0
b2_lasso_a1em3,unification,273554,100,False,0.2307439297,0.2400895094,0.2279659605,-2.35268,0.03458249905,3.134575496e-06,-1.662247667e-06,0.1376239766,0,-0.0111409,1.02127,0,0
b2_lasso_a1em2,unification,273554,100,False,0.2347379116,0.2461477602,0.2335688417,0.995389,0.004906200392,3.134568554e-06,-1.462336457e-06,0.1401948425,0,-0.0622451,1.07402,0,0
blk4_trailGShaped,unification,248686,91,False,0.2189050016,0.2255618878,0.2149586316,-13.5574,0.04397594123,3.342364166e-07,0.800484352,0.1344414196,0,-0.00113924,1.01041,0,0
blk4_trailGShapedWide,unification,248686,91,False,0.2188874735,0.2255677043,0.214941157,-13.6083,0.04399022377,3.312730711e-07,0.8013946676,0.1344486768,0,-0.00128299,1.01048,0,0
blk4_trailGShapedTrailMean,unification,248686,91,False,0.2190390186,0.2257232294,0.2150815722,-12.9935,0.04405431194,3.319644973e-07,0.8014485476,0.1344514725,0,-0.000803954,1.01013,0,0
blk4_trailGShapedTrailSd,unification,248686,91,False,0.2188613884,0.2255071788,0.2148938444,-13.6996,0.04440137548,3.339267474e-07,0.7998577147,0.134413343,0,-0.000273326,1.00917,0,0
blk3_trailGShapedTrailSd,unification,248686,91,False,0.2196091829,0.2264942181,0.2157457466,-12.8053,0.04413092923,3.470479575e-07,0.7981543104,0.134776506,0,-0.00120169,1.01011,0,0
blk3_exogSpikeFrozen_tuned,unification,248686,91,False,0.2199022442,0.2269675405,0.2161804698,-12.4913,0.04163502675,3.819327911e-07,0.7901817187,0.1349777169,0,-0.00336654,1.01279,0,0
blk3_exogSpikeTrailSd_tuned,unification,248686,91,False,0.2197959496,0.2266582809,0.2159740309,-12.1743,0.04426722171,3.734126074e-07,0.7916071248,0.1347832352,0,-0.00120303,1.01072,0,0
blk3_prodSpikeFrozen_tuned,unification,248686,91,False,0.2200388055,0.2270662337,0.2162864231,-11.627,0.04154798316,3.785489982e-07,0.7888431228,0.1349627362,0,-0.00280398,1.0117,0,0
blk3_prodNoCrossSpikeFrozen_tuned,unification,248686,91,False,0.2200687037,0.2271214058,0.216301119,-11.5651,0.04152897612,3.782754944e-07,0.7889376993,0.134975305,0,-0.00263978,1.01156,0,0
blk3_prodNoHarSpikeFrozen_tuned,unification,248686,91,False,0.2200380822,0.2270964207,0.2162865949,-11.6157,0.04158708957,3.76894876e-07,0.789523885,0.1349668852,0,-0.00240714,1.01137,0,0
blk3_prodNoSessionSpikeFrozen_tuned,unification,248686,91,False,0.2200498589,0.2271270343,0.216300661,-11.6239,0.04162406458,3.788685129e-07,0.7888125299,0.1349652005,0,-0.00278634,1.01175,0,0
blk3_prodValuesSpikeFrozen_tuned,unification,248686,91,False,0.2200230392,0.2270638305,0.2162960258,-11.7749,0.04158957956,3.810914497e-07,0.7879822022,0.1349630509,0,-0.00280114,1.01171,0,0
blk3_prodBlockPermSpikeFrozen_tuned,unification,248686,91,False,0.2200024277,0.227058114,0.216274146,-11.6969,0.04162204062,3.757972278e-07,0.7899626962,0.1349545687,0,-0.00320048,1.01211,0,0
blk4_prodSpikeFrozen_tuned,unification,248686,91,False,0.2193475867,0.2257793864,0.2155107195,-12.8807,0.04135878743,3.327370065e-07,0.8014157013,0.1346413901,0,-0.00386411,1.01293,0,0
blk2_trailGShapedTrailSd,unification,248686,91,False,0.2216565317,0.2289563281,0.2189174957,-14.8149,0.02771413825,2.698660158e-07,0.8250300634,0.1362447918,0,-0.0140263,1.02431,0,0
blk2_rotAllTrailSd_tuned,unification,248686,91,False,0.5481304801,0.9472768411,0.666769704,11.4734,-3.178145745e+11,3.041503992e-06,1.5957049e-16,3.268097435e+10,0,0.0897269,0.913189,0,0
blk2_rotAllTrailSdNumRank_tuned,unification,248686,91,False,0.2203574088,0.2264999221,0.2165040389,-12.5449,0.040184856,2.41836793e-07,0.8322662691,0.13525968,0,-0.00312717,1.01193,0,0
blk2_frExogRaw_tuned,unification,248686,91,False,0.2200410975,0.2270516899,0.2163520598,-11.5177,0.04158957667,3.748667296e-07,0.7911463555,0.1349889842,0,-0.00495098,1.014,0,0
blk2_frExogFrozen_tuned,unification,248686,91,False,0.2197285918,0.2265594563,0.2160892636,-12.9184,0.04207541748,3.810785352e-07,0.7913688442,0.1349167594,0,-0.00400021,1.01348,0,0
blk2_frExogTrailSd_tuned,unification,248686,91,False,0.2202029866,0.2266701051,0.2164252392,-14.1447,0.03884106165,2.353705137e-07,0.8342756103,0.1354010571,0,-0.0044069,1.0142,0,0
blk2_frExogTrailSdShaped_tuned,unification,248686,91,False,0.2208974911,0.2518618428,0.2172501023,-12.2338,0.03478842011,2.216484358e-07,0.8366747106,0.1356619726,0,-0.00196958,1.01219,0,0
blk2_frExogFrozenShaped_tuned,unification,248686,91,False,0.221306678,0.2296306994,0.2176575986,-9.21626,0.03399550044,3.746507084e-07,0.7918615078,0.135661392,0,0.000921378,1.00881,0,0
blk2_frProdRaw_tuned,unification,248686,91,False,0.2204267314,0.2688864752,0.217141579,-14.1389,0.03441532614,3.343295799e-07,0.8008548254,0.1355720353,0,-0.0106427,1.01962,0,0
blk2_frProdFrozen_tuned,unification,248686,91,False,0.2203634783,0.237260709,0.2171381333,-13.8505,0.03456744237,3.549167933e-07,0.795031479,0.1355442083,0,-0.00974782,1.01893,0,0
blk2_frProdTrailSd_tuned,unification,248686,91,False,0.2207337754,0.2267843449,0.2170556515,-13.6754,0.03586246966,2.766930838e-07,0.8181443978,0.1354966244,0,-0.00696692,1.01711,0,0
blk2_frAllRaw_tuned,unification,248686,91,False,0.2200506468,0.2270659755,0.216364061,-11.4805,0.04161432751,3.749240108e-07,0.7911420973,0.1349878909,0,-0.00499028,1.01406,0,0
blk2_frAllFrozen_tuned,unification,248686,91,False,0.2197307739,0.2265734791,0.2161226814,-13.0006,0.0420117101,3.812437835e-07,0.7913638367,0.1349140577,0,-0.00407311,1.01346,0,0
blk2_rotAllTrailSdWide_tuned,unification,5526,3,True,0.7550630852,1.583188617,0.7547344508,21.7249,-48.81436167,4.24708608e-06,0.0004431224066,3.01971492,0,0.933597,8.99768e-10,1,1
blk2_rotAllTrailSdShaped_tuned,unification,5526,3,True,0.3657136657,0.9642291846,0.4446963697,17.6031,-18.60367253,4.220935527e-06,0.003857181492,0.8282989365,0,0.933597,1.05448e-08,1,1
blk3_prodBbExog_tuned,unification,248686,91,False,0.2196810846,0.2925277335,0.2159365771,-12.9078,0.04220341093,3.484433899e-07,0.798873383,0.134566345,0,-0.00626806,1.01563,0,0
blk4_prodBbExogTrailSd,unification,248686,91,False,0.2190416814,0.2916895038,0.2150943858,-13.9697,0.04519839398,3.361758765e-07,0.7997395896,0.1343140113,0,-0.000851788,1.00999,0,0
blk4_trailGShaped_fine,unification,248686,91,False,0.2188868822,0.2255185946,0.2149187451,-13.7021,0.04406674502,3.362482577e-07,0.7996382744,0.1344131719,0,-0.000905038,1.01005,0,0
b1_ridge_tuned_fine,unification,273554,100,False,0.230442192,0.2430566437,0.2266113151,-4.37172,0.03090220838,3.13456591e-06,-1.579273702e-06,0.1380419608,0,0.0177691,0.990507,0,0
blk2_rotVarFullK_js,unification,248686,91,False,0.2406821912,1.258197956,0.2376559236,16.7615,-0.07913104252,7.009231701e-07,0.6791921562,0.1478295901,0,0.0191925,0.987207,0,0
blk2_rotFullProd_timeaware_tuned,unification,248686,91,False,0.2200572712,0.2275059145,0.2162903618,-11.7137,0.04145613332,3.58130136e-07,0.7975092531,0.1350006949,0,-0.00370573,1.01256,0,0
blk2_rotFullProd_timeaware_wobbleEps1em2_tuned,unification,248686,91,False,0.220057613,0.227501684,0.2162906095,-11.714,0.04145930556,3.580108477e-07,0.7975522403,0.1350007971,0,-0.00370005,1.01255,0,0
blk2_rotFullProd_wobbleBagEps1em2_tuned,unification,248686,91,False,0.2199705788,0.2269484023,0.2162887321,-12.0056,0.04159793206,3.749033676e-07,0.7911464983,0.1349836805,0,-0.00494123,1.01401,0,0
blk2_rotFullProd_wobbleEps1em1_tuned,unification,248686,91,False,0.2199705788,0.2269484023,0.2162887321,-12.0056,0.04159793206,3.749033676e-07,0.7911464983,0.1349836805,0,-0.00494123,1.01401,0,0
blk2_rotFullProd_wobbleEps1em2_tuned,unification,248686,91,False,0.2199705788,0.2269484023,0.2162887321,-12.0056,0.04159793206,3.749033676e-07,0.7911464983,0.1349836805,0,-0.00494123,1.01401,0,0
blk2_rotFullProd_wobbleEps1em3_tuned,unification,248686,91,False,0.2199705788,0.2269484023,0.2162887321,-12.0056,0.04159793206,3.749033676e-07,0.7911464983,0.1349836805,0,-0.00494123,1.01401,0,0
blk2_rotFullProd_wobbleEps3em2_tuned,unification,248686,91,False,0.2199705788,0.2269484023,0.2162887321,-12.0056,0.04159793206,3.749033676e-07,0.7911464983,0.1349836805,0,-0.00494123,1.01401,0,0
blk2_rotVarThirtyK_js,unification,248686,91,False,0.2364738312,0.5347648901,0.234089547,13.1071,-0.05600548739,6.697061085e-07,0.6890188343,0.1455621117,0,0.0126384,0.995178,0,0
blk2_rotVarTwentyK_js,unification,248686,91,False,0.2266954845,0.242452647,0.2238618187,1.68808,0.002514401981,4.545791464e-07,0.7661702123,0.1393889133,0,-0.000456863,1.0097,0,0
blk2_rotPredThirtyK_js,unification,248686,91,False,0.2354047592,0.256417375,0.2330878243,12.8015,-0.04822055216,7.023518921e-07,0.6799873409,0.1447623909,0,0.00356208,1.00242,0,0
blk2_rotPredTwentyK_js,unification,248686,91,False,0.2274469593,0.2428873336,0.224134439,2.80282,-0.001767499379,5.682532058e-07,0.7266562165,0.1397429337,0,-0.00231959,1.01107,0,0
blk2_rotPredTenK_js,unification,248686,91,False,0.2253833564,0.2684723964,0.2214593733,-0.719261,0.011036252,3.279336505e-07,0.8071013138,0.1386747562,0,0.00751565,1.00193,0,0
blk2_rotPredFiveK_js,unification,248686,91,False,0.2238932904,0.2390121485,0.2200882806,-4.32504,0.01859454301,3.384144168e-07,0.8051459002,0.137718776,0,0.00687936,1.00169,0,0
blk2_gated_tuned,unification,248686,91,False,0.2199705788,0.2269484023,0.2162887321,-12.0056,0.04159793206,3.749033676e-07,0.7911464983,0.1349836805,0,-0.00494123,1.01401,0,0
blk2_rotVarFullK_tuned,unification,248686,91,False,0.2221498259,0.2325614064,0.2185848256,-8.00151,0.03179904707,2.414207462e-07,0.8287177923,0.1359373731,0,0.000448342,1.00856,0,0
blk2_rotVarThirtyK_tuned,unification,248686,91,False,0.222211729,0.2314629849,0.2185578275,-8.12403,0.03195211146,2.416797051e-07,0.8291056286,0.1359559466,0,-0.000197358,1.00878,0,0
blk2_rotVarTwentyK_tuned,unification,248686,91,False,0.2218201141,0.2289187112,0.2182562586,-9.45961,0.03248672401,2.473417993e-07,0.8291353221,0.1359854662,0,-0.00158749,1.01073,0,0
blk2_rotPredThirtyK_tuned,unification,248686,91,False,0.2219912745,0.2297846974,0.2186352058,-8.53351,0.0319889886,2.320266e-07,0.8317060495,0.1359179551,0,-0.000207572,1.00955,0,0
blk2_rotPredTwentyK_tuned,unification,248686,91,False,0.2216332027,0.228105341,0.2181389647,-8.67287,0.03339261296,2.336758585e-07,0.8358727442,0.1359179835,0,-0.0023324,1.01149,0,0
blk2_rotPredTenK_tuned,unification,248686,91,False,0.2224733239,0.2282921872,0.2190036011,-9.13661,0.02573697843,2.359998862e-07,0.8346803131,0.1366034024,0,-0.00750868,1.01708,0,0
blk2_rotPredFiveK_tuned,unification,248686,91,False,0.2226973393,0.2286806271,0.2195538089,-9.39339,0.02393940369,2.341202823e-07,0.8352198641,0.1367855542,0,-0.00765297,1.01738,0,0
blk3_ew_tuned,unification,248686,91,False,0.2208709963,0.3007248089,0.2164607763,-10.3534,0.03929420398,2.94395446e-07,0.8145530537,0.1347628407,0,0.0190843,0.988889,0,0
blk3_ewFixed_H3000,unification,248686,91,False,0.2202918193,0.2365210221,0.2155201896,-12.6378,0.04233415892,2.088252594e-07,0.841513442,0.1343336295,0,0.0252346,0.982416,0,0
blk3_ewFixed_H12000,unification,248686,91,False,0.2190956851,0.2367299703,0.2150331297,-14.2708,0.0458824474,2.739480505e-07,0.8216112774,0.1342313958,0,0.00287229,1.00572,0,0
blk3_js_tuned,unification,248686,91,False,0.2463147319,0.3324628443,0.2417307644,19.9135,-0.1310100021,5.937468501e-07,0.7220227978,0.1510983484,0,0.0266482,0.984504,0,0
blk3_jsNeff_tuned,unification,0,1,True,,,,,,,,,0,,,0,0
blk3_npeb_tuned,unification,248686,91,False,0.4418477142,243990.3052,1.264140373,23.6732,-77.60469427,9.662226162e-07,0.5334565119,0.2599131194,0,0.912991,0.0564247,0,0
blk3_js_pcbasis_tuned,unification,248686,91,False,0.2862568378,68.74239179,0.285759302,27.2639,-0.4069007337,5.138307334e-07,0.7286400029,0.1727736261,0,0.107496,0.902467,0,0
blk3_jsDiag_tuned,unification,248686,91,False,0.3061387193,55.53464506,0.3105059714,28.3537,-0.543831168,4.388032009e-07,0.7463615905,0.1833507359,0,0.17489,0.830378,0,0
blk4_trailG40_tuned,unification,248686,91,False,0.2189369292,0.2253788307,0.2149558426,-13.4271,0.04420146676,3.38366229e-07,0.7988932784,0.1343884723,0,-0.000525816,1.00951,0,0
blk2_gfull_tuned,unification,248686,91,False,0.221766549,0.2282400502,0.2181604739,-10.6395,0.03280240146,2.554880868e-07,0.8282186387,0.1359327123,0,-0.00600196,1.01702,0,0
blk2_rotFullProd_tuned,unification,248686,91,False,0.2199705788,0.2269484023,0.2162887321,-12.0056,0.04159793206,3.749033676e-07,0.7911464983,0.1349836805,0,-0.00494123,1.01401,0,0
blk2_gFortyRungs_tuned,unification,248686,91,False,0.2222708649,0.2331954197,0.2189838591,-8.44944,0.03059937665,2.549072919e-07,0.8262450588,0.1360033225,0,-0.00435726,1.01409,0,0
blk2_gFortyRungsInd_tuned,unification,248686,91,False,0.2214182175,0.2289712419,0.2178815937,-9.91879,0.03455513135,2.53415073e-07,0.8248897913,0.1356752326,0,-0.00568244,1.01518,0,0
blk2_plsTwentyRungsInd_tuned,unification,248686,91,False,0.2217734166,0.2290297334,0.2181456154,-10.2632,0.03282585159,2.612075089e-07,0.8245676631,0.1359582182,0,-0.00738884,1.0164,0,0
blk2_plsTenRungsInd_tuned,unification,248686,91,False,0.2213527131,0.2271592735,0.2182556079,-12.9578,0.03151015353,3.221199076e-07,0.8073305939,0.1359099241,0,-0.0143951,1.02449,0,0
blk4_trailGShapedFrozen,unification,248686,91,False,0.2193119324,0.2257581244,0.2154843703,-12.9002,0.04142964297,3.321433343e-07,0.8016779006,0.1346242028,0,-0.00410505,1.0132,0,0
blk_pcladderWide_tuned,unification,248686,91,False,0.2222302399,0.2269152904,0.2192169904,-8.57195,0.02482041537,2.433249266e-07,0.827755136,0.1364046293,0,-0.010453,1.02056,0,0
blk3_tikhonovStepWide_tuned,unification,248686,91,False,0.2202935689,0.2259980089,0.2165325266,-11.7214,0.03431494188,2.60041661e-07,0.8211118613,0.1353021731,0,0.00253307,1.00681,0,0
blk_pcladder_tuned,unification,248686,91,False,0.2222700374,0.2268220133,0.2193595034,-8.33762,0.02443459,2.374946128e-07,0.8304071169,0.1363996158,0,-0.0128589,1.02313,0,0
blk_pcladder_fortyK_tuned,unification,248686,91,False,0.2223657893,0.230308408,0.2193758974,-8.55968,0.0248465368,2.349192371e-07,0.8303533472,0.1364446983,0,-0.0112717,1.02154,0,0
blk_pcladder_eightyK_tuned,unification,248686,91,False,0.2223753638,0.2271215628,0.2190930625,-8.24934,0.0249642089,2.361772346e-07,0.828847683,0.1364687152,0,-0.00637404,1.01655,0,0
blk_pcladder_fullK_tuned,unification,248686,91,False,0.2224727832,0.2274473988,0.2190622568,-7.81832,0.02405588076,2.382514444e-07,0.8275455745,0.1365032291,0,-0.00371385,1.01431,0,0
blk_pcladderPerRung_tuned,unification,248686,91,False,0.2220787456,0.2269243185,0.2191129062,-9.35988,0.02480651032,2.349387893e-07,0.8300607115,0.1364245673,0,-0.0121894,1.02236,0,0
blk4_trailGZoo,unification,248686,91,False,0.2189216296,0.2256588684,0.214889604,-13.4843,0.04497540752,3.359355474e-07,0.7998815384,0.1343330757,0,0.00103761,1.00808,0,0
blk3_tikhonovStep_tuned,unification,248686,91,False,0.2199334195,0.2250759455,0.2162518088,-12.0543,0.03696908124,2.856470708e-07,0.8134562215,0.1350679773,0,-0.00669127,1.0161,0,0
blk2_pcr_tuned,unification,248686,91,False,0.2228705415,0.2300412733,0.2202921164,-8.87443,0.02297570229,2.468343461e-07,0.8405550169,0.1367713141,0,-0.0140335,1.02376,0,0
blk2_pcrForty_tuned,unification,248686,91,False,0.2213358085,0.3012823775,0.2185190903,-13.7192,0.02991370091,3.549704222e-07,0.7988392844,0.1360171047,0,-0.0126022,1.0235,0,0
