model,file,rows,panel,window,refit,hyperparameters,code provenance
baseline (HAR + calendar OLS),yhat_a0.parquet,276317,"earlier panel; no exogenous columns, so the same forecast on either panel","24,000 bars, about 480 sessions",every bar,none (ordinary least squares on the HAR ladder and the calendar block),no campaign record; dumped from the earlier chunk tree
block-diagonal ridge,yhat_blk2_fomc1.parquet,276317,"FOMC panel (the panel of record), 1,264 design columns","24,000 bars, about 480 sessions",every bar,"block penalties, backbone 1 and exogenous 100, recorded in the chunk meta","run main-a95517c1 on carc-d1, 2026-08-27; code identified by file fingerprint, not by commit"
"block-diagonal ridge, without the FOMC columns",yhat_blk2.parquet,276317,"earlier panel (no FOMC calendar columns), 1,144 design columns","24,000 bars, about 480 sessions",every bar,"block penalties, backbone 1 and exogenous 100",no campaign record
LightGBM,yhat_tree00.parquet,276317,earlier panel (FOMC-panel run pending),"24,000 bars, about 480 sessions",every bar on one cluster and every 10 bars on the other; the cadence is not recorded per chunk,"arm 00, hand-picked from a 20-arm bank; the frozen menu file is on neither disk nor git history, so the settings are unrecoverable",no campaign record
XGBoost,yhat_tree16.parquet,276317,earlier panel (FOMC-panel run pending),"24,000 bars, about 480 sessions",every bar on one cluster and every 10 bars on the other; the cadence is not recorded per chunk,"arm 16, hand-picked from the same 20-arm bank; settings unrecoverable; predictions stored as float32",no campaign record
lasso (causally tuned),yhat_b2lasso_tuned.parquet,276317,earlier panel (FOMC-panel run pending),"24,000 bars, about 480 sessions",every bar; reseeded and retuned every 250 solves,"penalty chosen from past data only, on the 125 bars ending at the trade bar after a 25-bar embargo",no campaign record
lasso (fixed 1e-4),yhat_b2lasso_fomc1.parquet,276317,FOMC panel (the panel of record),"24,000 bars, about 480 sessions",every bar,fixed penalty 1e-4,"run main-a95517c1 on carc-d1, 2026-08-27; dumped 2026-09-05"
elastic net (causally tuned),yhat_b3enet_tuned.parquet,276317,earlier panel (FOMC-panel run pending),"24,000 bars, about 480 sessions",every bar; reseeded and retuned every 250 solves,"penalties chosen from past data only, same validation tail as the tuned lasso",no campaign record
per-bar ridge (HAR + calendar),yhat_sub_ridge_baseline.parquet,20044,"FOMC panel (the panel of record), HAR + calendar (no exogenous columns)","2000 sessions of the bar's own rows, refit every session",every session,"ridge, penalty tuned from past data every 250 solves (the spec's TUNE_PER)","Hoffman2 subsection campaign 2026-09-20/21 (specs/causal_tune_linear.py, SEGMENT = one bar, LAG_SCOPE = global); arms in results/linear_subsection/arms_hoffman2, stacked by experiments/build_subsection_yhat.py; rv_raw carried from the production table"
per-bar ridge (all features),yhat_sub_ridge_all_features.parquet,20044,"FOMC panel (the panel of record), all features","2000 sessions of the bar's own rows, refit every session",every session,"ridge, penalty tuned from past data every 250 solves (the spec's TUNE_PER)","Hoffman2 subsection campaign 2026-09-20/21 (specs/causal_tune_linear.py, SEGMENT = one bar, LAG_SCOPE = global); arms in results/linear_subsection/arms_hoffman2, stacked by experiments/build_subsection_yhat.py; rv_raw carried from the production table"
