block,item,n,value,unit,note
C1 minute-level jumps inside bars,"sumret2 / sumret^2 over the 5 window bars, all replayed sessions",32888,2.2555223000122364,ratio (median),"sumret2 is the sum of the squared one-minute returns inside the bar, sumret^2 the square of the bar's net move; a bar whose 30 one-minute returns were all equal has ratio 1/30 = 0.0333, and the excess over that is path the 30-minute replay never sees"
C1 minute-level jumps inside bars,"sumret2 / sumret^2 over the 5 window bars, all replayed sessions",32965,0.9748032946683338,ratio (pooled sums),immune to the near-zero denominators that make a per-bar mean meaningless
C1 minute-level jumps inside bars,"the same ratio on each session's LARGEST window bar, all replayed sessions",6593,0.4393256324090107,ratio (pooled sums),the bar that drives the loss; a bar whose 30 one-minute returns were all equal has ratio 1/30 = 0.0333
C1 minute-level jumps inside bars,"sumret2 / sumret^2 over the 5 window bars, worst-1% sessions (66)",330,0.9141334096841526,ratio (median),"sumret2 is the sum of the squared one-minute returns inside the bar, sumret^2 the square of the bar's net move; a bar whose 30 one-minute returns were all equal has ratio 1/30 = 0.0333, and the excess over that is path the 30-minute replay never sees"
C1 minute-level jumps inside bars,"sumret2 / sumret^2 over the 5 window bars, worst-1% sessions (66)",330,0.6516257699020248,ratio (pooled sums),immune to the near-zero denominators that make a per-bar mean meaningless
C1 minute-level jumps inside bars,"the same ratio on each session's LARGEST window bar, worst-1% sessions (66)",66,0.34542050030049287,ratio (pooled sums),the bar that drives the loss; a bar whose 30 one-minute returns were all equal has ratio 1/30 = 0.0333
C1 minute-level jumps inside bars,"sumret2 / sumret^2 over the 5 window bars, worst-10 sessions",50,0.8892820086152959,ratio (median),"sumret2 is the sum of the squared one-minute returns inside the bar, sumret^2 the square of the bar's net move; a bar whose 30 one-minute returns were all equal has ratio 1/30 = 0.0333, and the excess over that is path the 30-minute replay never sees"
C1 minute-level jumps inside bars,"sumret2 / sumret^2 over the 5 window bars, worst-10 sessions",50,0.6204532553548692,ratio (pooled sums),immune to the near-zero denominators that make a per-bar mean meaningless
C1 minute-level jumps inside bars,"the same ratio on each session's LARGEST window bar, worst-10 sessions",10,0.30728718828402496,ratio (pooled sums),the bar that drives the loss; a bar whose 30 one-minute returns were all equal has ratio 1/30 = 0.0333
C1 minute-level jumps inside bars,window bars carrying fewer than 30 one-minute observations,32965,285,bars,a short bar hides proportionally more of its own path
C2 settlement print vs the last bar,"the panel's 16:00 bar, |log return|, replayed sessions",6593,0.21688598533551084,"mean |move|, %",the panel has no separate settlement print: the replay settles on the close of the 16:00 bar
C2 settlement print vs the last bar,"the panel's 16:00 bar, |log return|, replayed sessions",6593,1.4344211282129267,"99th percentile |move|, %",same
C2 settlement print vs the last bar,"the live book's own 15:30 spot -> GSPC close move, chain sessions",1279,0.20971303638473285,"mean |move|, %","proposal 43's settlement is the GSPC close; the replay's is the panel's 16:00 bar close, a different series"
C2 settlement print vs the last bar,"the live book's own 15:30 spot -> GSPC close move, chain sessions",1279,1.2084155977165505,"99th percentile |move|, %","proposal 43's settlement is the GSPC close; the replay's is the panel's 16:00 bar close, a different series"
C2 settlement print vs the last bar,"the live book's own 15:30 spot -> GSPC close move, chain sessions",1279,4.831247974998365,"max |move|, %","proposal 43's settlement is the GSPC close; the replay's is the panel's 16:00 bar close, a different series"
C3 extrapolating the 2020-2024 premium curve,"trailing 21-session realized variance, the 2020-2024 calibration overlap",1088,1.2460899283107398e-05,RV21 min,"the curve is fitted only on the overlap's RV21 support [1.246e-05, 1.553e-03]; anything outside it is extrapolation"
C3 extrapolating the 2020-2024 premium curve,"trailing 21-session realized variance, the 2020-2024 calibration overlap",1088,5.8623904002731204e-05,RV21 median,"the curve is fitted only on the overlap's RV21 support [1.246e-05, 1.553e-03]; anything outside it is extrapolation"
C3 extrapolating the 2020-2024 premium curve,"trailing 21-session realized variance, the 2020-2024 calibration overlap",1088,0.0015529551029622047,RV21 max,"the curve is fitted only on the overlap's RV21 support [1.246e-05, 1.553e-03]; anything outside it is extrapolation"
C3 extrapolating the 2020-2024 premium curve,"trailing 21-session realized variance, 2008-2009",501,4.3565961484750426e-05,RV21 min,"the curve is fitted only on the overlap's RV21 support [1.246e-05, 1.553e-03]; anything outside it is extrapolation"
C3 extrapolating the 2020-2024 premium curve,"trailing 21-session realized variance, 2008-2009",501,0.00014983665174591804,RV21 median,"the curve is fitted only on the overlap's RV21 support [1.246e-05, 1.553e-03]; anything outside it is extrapolation"
