tag,hit_spread_Q5_minus_Q1,hit_Q1,hit_Q5,mean_dSharpe_crossed,p10,p90
sub_live_ridge,0.05,0.367,0.41700000000000004,0.0037818794463373084,-0.14131980072828876,0.14705562949186943
sub_live_ridge,0.1,0.342,0.442,0.13202953115734584,-0.004501178365299573,0.2770626221354604
sub_live_ridge,0.15000000000000002,0.317,0.467,0.1776522581876445,0.03880422437329808,0.3040189067916126
sub_live_ridge,0.25,0.267,0.517,0.40029348111479357,0.27354272461285367,0.5211079949512212
sub_live_ridge,0.30000000000000004,0.242,0.542,0.45657232777900786,0.3476228658823845,0.5734071482863125
sub_live_ridge,0.35000000000000003,0.217,0.5670000000000001,0.5637121182994249,0.4647141686030831,0.6694984408646075
blk2,0.0,0.4048582995951417,0.4048582995951417,-0.0595136570491508,-0.20736252015130768,0.07357004360371562
blk2,0.05,0.37985829959514167,0.4298582995951417,-0.017629829609429062,-0.16773058220417547,0.13352333048273637
blk2,0.1,0.3548582995951417,0.4548582995951417,0.08757634065112598,-0.05071618998848186,0.2336072981307591
blk2,0.15000000000000002,0.3298582995951417,0.4798582995951417,0.25718100300552843,0.11885236821728677,0.3886027747550934
blk2,0.2,0.30485829959514166,0.5048582995951417,0.29084124134768574,0.1630704101885517,0.4180058438434938
blk2,0.25,0.2798582995951417,0.5298582995951417,0.3931685023402164,0.2764736256734808,0.5212700814093195
blk2,0.30000000000000004,0.25485829959514167,0.5548582995951417,0.48286623579603033,0.3595521579569833,0.5920230449883546
blk2,0.35000000000000003,0.22985829959514167,0.5798582995951417,0.5319979037130399,0.41379949304763547,0.6377867930865831
blk2,0.4,0.20485829959514168,0.6048582995951417,0.6912456159261001,0.5819949425343927,0.7979643288062669
