cell,a0,blk2,blk2_inc,lgbm,xgb,lasso_t,lasso_f,enet
flat125|p0|FLAT,51,48,45,50,56,51,43,56
flat125|p0|PER-ROW,51,48,45,50,56,51,43,56
flat125|p1|FLAT,28,19,31,35,36,30,29,33
flat125|p1|PER-ROW,30,42,40,33,26,45,39,42
flat125|p2|FLAT,32,21,28,30,27,30,22,28
flat125|p2|PER-ROW,44,44,47,51,39,49,48,60
flat250|p0|FLAT,53,52,51,52,53,56,45,58
flat250|p0|PER-ROW,53,52,51,52,53,56,45,58
flat250|p1|FLAT,21,27,25,20,19,18,21,21
flat250|p1|PER-ROW,26,34,34,21,13,36,30,39
flat250|p2|FLAT,0,0,0,0,0,0,0,0
flat250|p2|PER-ROW,45,46,44,50,39,43,34,54
flat500|p0|FLAT,66,62,55,58,56,60,55,65
flat500|p0|PER-ROW,66,62,55,58,56,60,55,65
flat500|p1|FLAT,50,35,45,35,28,35,32,39
flat500|p1|PER-ROW,51,44,50,40,36,51,43,52
flat500|p2|FLAT,38,26,30,32,23,30,21,28
flat500|p2|PER-ROW,63,56,57,63,55,59,49,70
ewma125|p0|FLAT,46,54,55,50,55,52,49,62
ewma125|p0|PER-ROW,46,54,55,50,55,52,49,62
ewma125|p1|FLAT,20,23,31,26,22,21,22,27
ewma125|p1|PER-ROW,39,39,44,26,25,39,36,53
ewma125|p2|FLAT,20,11,18,16,17,17,6,12
ewma125|p2|PER-ROW,49,52,53,56,48,52,43,65
ewma250|p0|FLAT,67,62,55,59,58,57,54,67
ewma250|p0|PER-ROW,67,62,55,59,58,57,54,67
ewma250|p1|FLAT,51,35,42,30,28,31,27,41
ewma250|p1|PER-ROW,50,44,48,34,34,44,40,57
ewma250|p2|FLAT,38,24,26,27,29,27,15,24
ewma250|p2|PER-ROW,62,57,56,60,56,64,49,69
ewma500|p0|FLAT,71,56,53,57,56,55,58,63
ewma500|p0|PER-ROW,71,56,53,57,56,55,58,63
ewma500|p1|FLAT,67,35,44,35,37,38,27,47
ewma500|p1|PER-ROW,61,46,52,43,44,51,44,58
ewma500|p2|FLAT,62,29,36,42,35,35,26,31
ewma500|p2|PER-ROW,76,58,62,65,62,62,54,74
